account,indicator,region,sector,value,share_of_region_total,rank,unit
CBA,economic_importance,SE,Construction work (45),78459.54521176819,0.14585335975779973,1,M.EUR
CBA,economic_importance,SE,Health and social work services (85),52752.34742208897,0.09806464064831641,2,M.EUR
CBA,economic_importance,SE,Education services (80),44026.657117058145,0.08184390875699876,3,M.EUR
CBA,economic_importance,SE,Computer and related services (72),37398.323859682496,0.06952208516532195,4,M.EUR
CBA,economic_importance,SE,Public administration and defence services; compulsory social security services (75),31643.410611074683,0.05882391669954011,5,M.EUR
CBA,economic_importance,SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",22002.959764510877,0.04090267917826583,6,M.EUR
CBA,economic_importance,SE,Food products nec,19209.54681794331,0.03570982899862058,7,M.EUR
CBA,economic_importance,SE,Air transport services (62),18452.202807317866,0.034301954811432465,8,M.EUR
CBA,economic_importance,SE,Machinery and equipment n.e.c. (29),17742.30382464844,0.0329822791565263,9,M.EUR
CBA,economic_importance,SE,"Motor vehicles, trailers and semi-trailers (34)",17601.351220915774,0.03272025353854024,10,M.EUR
CBA,economic_importance,SE,"Financial intermediation services, except insurance and pension funding services (65)",16508.34501294298,0.030688395881977464,11,M.EUR
CBA,economic_importance,SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",15333.832418028847,0.028505020900849182,12,M.EUR
CBA,economic_importance,SE,Hotel and restaurant services (55),13933.993741641496,0.025902773162617545,13,M.EUR
CBA,economic_importance,SE,Renting services of machinery and equipment without operator and of personal and household goods (71),10771.119605093274,0.020023108450548645,14,M.EUR
CBA,economic_importance,SE,"Insurance and pension funding services, except compulsory social security services (66)",8437.618205963025,0.01568521663453001,15,M.EUR
CBA,economic_importance,SE,"Plastics, basic",7806.253500315087,0.014511533263020562,16,M.EUR
CBA,economic_importance,SE,Membership organisation services n.e.c. (91),7707.735877613097,0.014328392687483791,17,M.EUR
CBA,economic_importance,SE,Distribution and trade services of electricity,6735.806589197397,0.012521612495477596,18,M.EUR
CBA,economic_importance,SE,"Fabricated metal products, except machinery and equipment (28)",6535.531413917966,0.012149308435955646,19,M.EUR
CBA,economic_importance,SE,Textiles (17),6509.228606004597,0.012100412499905108,20,M.EUR
CBA,economic_importance,SE,Real estate services (70),6454.679562701861,0.011999007868820343,21,M.EUR
CBA,economic_importance,SE,Other services (93),6442.093535886239,0.011975610915752293,22,M.EUR
CBA,economic_importance,SE,Sea and coastal water transportation services,6313.98248168273,0.011737457258000876,23,M.EUR
CBA,economic_importance,SE,Dairy products,6233.223397889597,0.0115873291420349,24,M.EUR
CBA,economic_importance,SE,Other business services (74),5469.795303527601,0.010168144870756578,25,M.EUR
CBA,economic_importance,SE,Wearing apparel; furs (18),5085.101662026801,0.009453013780729071,26,M.EUR
CBA,economic_importance,SE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",4460.440247901371,0.008291791577422356,27,M.EUR
CBA,economic_importance,SE,Rubber and plastic products (25),4377.089869823069,0.008136846342307998,28,M.EUR
CBA,economic_importance,SE,Other land transportation services,4040.0889154152947,0.0075103741736344196,29,M.EUR
CBA,economic_importance,SE,Precious metal ores and concentrates,3987.315210445785,0.00741226983010433,30,M.EUR
CBA,economic_importance,SE,Research and development services (73),3513.92083448244,0.006532247392575027,31,M.EUR
CBA,economic_importance,SE,Electricity by hydro,3089.5978585501944,0.00574344685218057,32,M.EUR
CBA,economic_importance,SE,Other transport equipment (35),2980.0408145820466,0.005539784405441195,33,M.EUR
CBA,economic_importance,SE,Post and telecommunication services (64),2714.664141535244,0.0050464590967008414,34,M.EUR
CBA,economic_importance,SE,Gas/Diesel Oil,2525.778069464436,0.004695326954032634,35,M.EUR
CBA,economic_importance,SE,Products of meat cattle,2287.2283978406917,0.004251872037469795,36,M.EUR
CBA,economic_importance,SE,Beverages,2281.201316701935,0.004240667919076706,37,M.EUR
CBA,economic_importance,SE,"Vegetables, fruit, nuts",1876.1215431333524,0.003487639772081473,38,M.EUR
CBA,economic_importance,SE,Products of meat pigs,1738.1955651711185,0.003231240538191258,39,M.EUR
CBA,economic_importance,SE,Products of meat poultry,1497.7665083756522,0.002784291914892867,40,M.EUR
CBA,economic_importance,SE,Furniture; other manufactured goods n.e.c. (36),1483.2807920428572,0.0027573635100705605,41,M.EUR
CBA,economic_importance,SE,Leather and leather products (19),1356.610728456043,0.0025218885999751107,42,M.EUR
CBA,economic_importance,SE,Fish products,1226.8856496159417,0.0022807345307970972,43,M.EUR
CBA,economic_importance,SE,Office machinery and computers (30),1127.3211821188668,0.0020956479099436477,44,M.EUR
CBA,economic_importance,SE,"Recreational, cultural and sporting services (92)",1032.2190163402752,0.0019188565410718037,45,M.EUR
CBA,economic_importance,SE,Chemicals nec,989.381902616808,0.0018392239489884443,46,M.EUR
CBA,economic_importance,SE,Motor Gasoline,917.1606336562991,0.001704967311438091,47,M.EUR
CBA,economic_importance,SE,Ceramic goods,826.5006337800547,0.0015364337628188387,48,M.EUR
CBA,economic_importance,SE,Paper and paper products,819.8409817699163,0.0015240537188372586,49,M.EUR
CBA,economic_importance,SE,Meat products nec,800.9990904665254,0.0014890273476879821,50,M.EUR
CBA,economic_importance,SE,"Products of forestry, logging and related services (02)",769.9894106965443,0.001431381512917239,51,M.EUR
CBA,economic_importance,SE,Electricity by nuclear,758.2686570569108,0.0014095930703176816,52,M.EUR
CBA,economic_importance,SE,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),701.8688131803382,0.0013047478701956237,53,M.EUR
CBA,economic_importance,SE,Other non-metallic mineral products,587.5798444067241,0.0010922889522412328,54,M.EUR
CBA,economic_importance,SE,Private households with employed persons (95),586.2256875107958,0.0010897716252241407,55,M.EUR
CBA,economic_importance,SE,Electricity by wind,575.300946966926,0.0010694629411946205,56,M.EUR
CBA,economic_importance,SE,Sugar,554.5207563118219,0.0010308333440528826,57,M.EUR
CBA,economic_importance,SE,"Lead, zinc and tin ores and concentrates",485.1405430939969,0.0009018581228580692,58,M.EUR
CBA,economic_importance,SE,Electrical machinery and apparatus n.e.c. (31),439.2007146423394,0.0008164577001525065,59,M.EUR
CBA,economic_importance,SE,Poultry,358.3377734326237,0.0006661365171339047,60,M.EUR
CBA,economic_importance,SE,Distribution services of gaseous fuels through mains,326.92552955347884,0.0006077423307421964,61,M.EUR
CBA,economic_importance,SE,Tobacco products (16),326.63732956714784,0.0006072065777477702,62,M.EUR
CBA,economic_importance,SE,Supporting and auxiliary transport services; travel agency services (63),302.4123437725542,0.0005621732352947923,63,M.EUR
CBA,economic_importance,SE,Oil seeds,256.5051825880127,0.0004768335398168744,64,M.EUR
CBA,economic_importance,SE,Copper products,224.73282122287048,0.00041776990848894474,65,M.EUR
CBA,economic_importance,SE,Railway transportation services,194.5640009149456,0.00036168720000569204,66,M.EUR
CBA,economic_importance,SE,Natural Gas Liquids,189.13456943367868,0.0003515940899707033,67,M.EUR
CBA,economic_importance,SE,Fish and other fishing products; services incidental of fishing (05),188.39977715690648,0.0003502281386131974,68,M.EUR
CBA,economic_importance,SE,Services auxiliary to financial intermediation (67),186.87592048092145,0.0003473953460526253,69,M.EUR
CBA,economic_importance,SE,Animal products nec,165.81314129739303,0.00030824042740681235,70,M.EUR
CBA,economic_importance,SE,Basic iron and steel and of ferro-alloys and first products thereof,150.28746373196975,0.000279378773552953,71,M.EUR
CBA,economic_importance,SE,Wheat,146.66978301030602,0.00027265364041126187,72,M.EUR
CBA,economic_importance,SE,Printed matter and recorded media (22),135.68445784578552,0.00025223233183812856,73,M.EUR
CBA,economic_importance,SE,"Radio, television and communication equipment and apparatus (32)",116.18424193091494,0.00021598215986084072,74,M.EUR
CBA,economic_importance,SE,Crops nec,111.56914853661289,0.00020740287386908327,75,M.EUR
CBA,economic_importance,SE,P- and other fertiliser,109.6723118267376,0.00020387672537688242,76,M.EUR
CBA,economic_importance,SE,products of Vegetable oils and fats,108.74659093651037,0.00020215584486867662,77,M.EUR
CBA,economic_importance,SE,Biogasoline,99.46693577990048,0.0001849053130394106,78,M.EUR
